KANAL-ID | PROGRAMMER | DISPLAY-NAME
OTT.2.dk | 108 | OTT 2
OTT.3.dk | 107 | OTT 3
OTT.4.dk | 49 | OTT 4
Prime.Video.dk | 0 | Prime Video
ProSieben.dk | 142 | ProSieben
RTCG.dk | 0 | RTCG
RTL.dk | 97 | RTL
RTL.ll.dk | 4 | RTL ll
Radio.dk | 0 | Radio
Rai.1.dk | 125 | Rai 1
SF.Anytime.dk | 4 | SF Anytime
SKYSHOWTIME.SVOD.dk | 0 | SKYSHOWTIME SVOD
SPORT.LIVE.dk | 64 | SPORT LIVE
SVT1.dk | 107 | SVT1
SVT2.dk | 90 | SVT2
Sat.1.dk | 86 | Sat.1
See.VOD.dk | 0 | See VOD
See.dk | 143 | See
SkyShowtime.1.dk | 135 | SkyShowtime 1
SkyShowtime.2.dk | 106 | SkyShowtime 2
SkyShowtime.Select.dk | 4 | SkyShowtime Select
SkyShowtime.dk | 4 | SkyShowtime
Sudan.TV.dk | 0 | Sudan TV
TLC.dk | 90 | TLC
TV.2.Charlie.dk | 104 | TV 2 Charlie
TV.2.Echo.dk | 115 | TV 2 Echo
TV.2.Fri.dk | 116 | TV 2 Fri
TV.2.Nabo.dk | 0 | TV 2 Nabo
TV.2.News.dk | 58 | TV 2 News
TV.2.Norge.dk | 130 | TV 2 Norge
TV.2.Play.Favorit.+.Sport.dk | 4 | TV 2 Play Favorit + Sport
TV.2.Play.dk | 0 | TV 2 Play
TV.2.Region.dk | 0 | TV 2 Region
TV.2.Sport.X.dk | 57 | TV 2 Sport X
TV.2.Sport.dk | 73 | TV 2 Sport
TV.2.dk | 108 | TV 2
TV.2/Bornholm.dk | 250 | TV 2/Bornholm
TV.2/Fyn.dk | 84 | TV 2/Fyn
TV.MIDTVEST.dk | 170 | TV MIDTVEST
TV.SYD.dk | 125 | TV SYD
TV2.NORD.dk | 47 | TV2 NORD
TV2.ØST.dk | 18 | TV2 ØST
TV2.Østjylland.dk | 30 | TV2 Østjylland
TV2APP_BK.dk | 4 | TV2APP_BK
TV3+.dk | 94 | TV3+
TV3.MAX.dk | 83 | TV3 MAX
TV3.Puls.dk | 97 | TV3 Puls
TV3.SPORT.dk | 65 | TV3 SPORT
TV3.dk | 84 | TV3
TV4.dk | 74 | TV4
TV5MONDE.dk | 246 | TV5MONDE
TVE.dk | 87 | TVE
TVP.Polonia.dk | 0 | TVP Polonia
Thai.TV.Global.Network.dk | 4 | Thai TV Global Network
Trailerkanalen.dk | 0 | Trailerkanalen
Travel.Channel.dk | 96 | Travel Channel
Tv.Aarhus.dk | 0 | Tv Aarhus
V.film.action.dk | 49 | V film action
V.film.family.dk | 49 | V film family
V.film.hits.dk | 49 | V film hits
V.film.premiere.dk | 49 | V film premiere
V.series.&.film.dk | 0 | V series & film
V.series.dk | 160 | V series
V.sport.golf.dk | 34 | V sport golf
V.sport.ultra.HD.dk | 25 | V sport ultra HD
VOX.dk | 103 | VOX
Viaplay.Champions.League,.Film.&.Serier.dk | 0 | Viaplay Champions League, Film & Serier
Viaplay.Champions.League,.Film.&.Serier.med.reklam.dk | 0 | Viaplay Champions League, Film & Serier med reklam
Viaplay.Dansk.Fodbold,.Film.&.Serier.dk | 0 | Viaplay Dansk Fodbold, Film & Serier
Viaplay.Dansk.Fodbold,.Film.&.Serier.med.reklamer.dk | 0 | Viaplay Dansk Fodbold, Film & Serier med reklamer
Viaplay.Film.&.Serier.dk | 4 | Viaplay Film & Serier
Viaplay.Film.&.Serier.med.reklamer.dk | 0 | Viaplay Film & Serier med reklamer
Viaplay.Premium.dk | 0 | Viaplay Premium
Viaplay.Premium.med.reklamer.dk | 0 | Viaplay Premium med reklamer
Viaplay.Sport.1.dk | 26 | Viaplay Sport 1
Viaplay.Sport.2.dk | 28 | Viaplay Sport 2
Viaplay.Sport.3.dk | 47 | Viaplay Sport 3
Viaplay.Sport.News.dk | 73 | Viaplay Sport News
Viaplay.dk | 0 | Viaplay
Viasat.Explore.dk | 100 | Viasat Explore
Viasat.History.dk | 86 | Viasat History
Viasat.Nature.dk | 119 | Viasat Nature
Viascore.dk | 0 | Viascore
VråNet.Info.dk | 4 | VråNet Info
YouSee.Film.og.Serier.dk | 4 | YouSee Film og Serier
YouSee.Premiere.dk | 4 | YouSee Premiere
Youtube.dk | 4 | Youtube
ZDF.dk | 133 | ZDF
dk4.dk | 167 | dk4
